Python,鼎鼎赞,12000-19000元,深圳,3-5年,本科,"大学本科以上学历，3年以上计算机相关工作经验；
2、精通Linux、UNIX等操作系统命令；
3、熟悉自动化运维、有Restful API接口开发经验，DevOPS、AIOPS；
4、精通使用Python进行运维管理产品开发，有过项目管理经验优先；
5、熟悉Oracle、PostgreSQL、MySQL等数据库开发；
6、熟悉金融行业监管对数据中心运维管理要求优先；
7、有团结协作精神，能够承受压力，做事踏实，学习能力强。"
Python教学讲师,小码教育,10000-15000元,深圳,经验不限,本科,"1、主要负责讲授青少年编程课程；
2、按照公司制定的教学计划，高质量完成教学任务；
3、负责班级日常管理和维护工作；
4、负责学生辅导和教学答疑等工作；
5、参与优化和创新教学课程体系；
6、配合其他部门完成相关工作。
7、python新讲师培训；
8、教学品质督查
任职要求：
1、本科及以上学历；
2、掌握python语法基础，数据结构和算法；
3、热爱教育事业，有良好的敬业心；
4、能主动与学生沟通，关心学生，并督促学生认真学习；
5、普通话标准，语言表达能力强，逻辑思维清晰，具有优秀的沟通技巧；"
Python web开发工程师,腾讯,8000-10000元,深圳,3-5年,大专,"招聘python web开发工程师一位
地点：深圳    薪资：8-10K
岗位职责：
1、开发编写自动化运维脚本
2、开发编写web运维平台
任职要求：
1、大专以上学历 
2、计算机相关专业 
3、1-3年Python相关工作经验
4、熟练掌握Python web开发框架；
5、熟练掌握Python 爬虫;
6、熟悉Linux操作"
python工程师,荔枝微课,9000-15000元,深圳,1-3年,本科,"工作职责：
1、负责服务端的后台架构的优化、设计与开发；
2、根据产品需求，制定解决方案；
3、负责现有系统的性能调优等的设计与实现；
任职要求：
1、本科以上学历， 计算机或相关专业；
2、基础扎实，熟练掌握Python，2年以上开发经验；
3、熟悉 Linux 开发环境，熟悉 tornado 、django 或 flask 等框架。
4、思路清晰，优秀的分析和解决问题的能力, 具备良好的沟通能力，团队合作意识, 能主动承担，乐于分享；
5、熟悉移动互联网服务及应用开发者优先；
6、熟悉MySQL、MongoDB、Redis数据库和多线程编程；
加分项:
1. 有过高并发服务器设计和架构经验，系统调优相关经验；
2. 简历中最好能提供个人博客地址和 Github 地址。"
Python爬虫工程师,星商电子商务有限公司,8000-13000元,深圳,1-3年,本科,"岗位职责：
1、参与爬虫项目的架构设计、研发工作，改进和提升爬虫效率；
2、攻破各种反爬策略。解决各类技术疑难问题；
3、与大数据工程师对接，完成实时数据与离线数据的爬取与对接；
4、根据业务需要，主动搜罗并采集相关数据源。
任职要求：
1、计算机及相关专业本科及以上学历,两年以上相关工作经验；
2、精通Python开发语言；
3、熟练掌握一种开源爬虫框架，如scrapy、webmagic，有研发爬虫框架经验者优先；
4、 熟悉Appium、Selenium等技术；
5、善于独立分析并解决核心问题，如JavaScript反爬、爬虫策略、防屏蔽规则、验证码识别技术等；
6、熟悉mysql, mongod等数据库；
7、对爬虫有浓厚的兴趣，责任感强，有较好的交流沟通能力和团队合作能力。"
Python,乐易,15000-25000元,深圳,3-5年,本科,"• 乐易网络是一家数据驱动的手游公司，诚邀您作为后台工程师加入我们的数据中心团队。本团队开发的BI系统，使用数据来支持公司各方面的决策。您将成为我们业务发展过程中的主要驱动力。
• 岗位职责：
• 作为软件工程师，开发及维护内部使用的数据分析平台；
• 针对公司内部和外部（Google，Facebook等）的API接口开发ETL程序；
• 制作基于web的统计报表；
• 理解公司业务中的各种策略，编写自动化的工具来代替人工操作；
• 设计并实现可以有效进行大量A/B test的工具；
任职资格：
• 有使用python web框架开发的经验，例如 flask/django；
• 有使用python进行数据分析的经验，比如pandas/numpy；
• 有互联网公司后台服务的开发经验，掌握数据库(PostgreSQL)、网络编程等方面的工作原理；
• 有良好的算法和数据结构基础，及很强的自学能力；
• 能独立分析并解决问题，找到问题根源；
• 沟通能力良好，善于团队合作；
• 计算机相关专业毕业，2-3年软件开发经验。
▶关于乐易◀
★极客精神 专注海外精品手机游戏的研发、发行和运营，致力于打造一流的产品；
★技术深厚 创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景； 
★飞速发展 成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；
★导师制 一对一的导师，助你快速成长。
▶关于福利◀
★一年两次调薪★ ★绩效奖金高达10个月★ 
★六险一金★ ★一年两次旅游★ 
★7天年假15天带薪事假30天病假★ ★年度体检★ 
★高大上办公环境★ ★每月团建★ ★无限量零食水果供应★"
python,深圳国开创新科技,9000-14000元,深圳,3-5年,本科,"1. 计算机、电子、自动化等相关专业，3年以上python后台工作经验
2. 熟练掌握python开发语言，有扎实的编程能力
3. 熟练掌握一种及以上Web框架，Django框架优先
4. 熟悉mysql、redis、mongodb等数据库开发
5. 熟练应用linux操作系统，能够在服务器端进行代码的部署与调整
6. 具备较好的编码习惯，熟悉git，docker，nginx等技术
7. 较好的团队协作和抗压能力
工作内容
1. 根据用户需求文档，进行机器人的用户交互功能相关的后台开发
2. 负责机器人后台监控与系统管理的后台开发
3. 在与协力厂商开发方案中，负责技术沟通与开发
4. 负责机器人后台项目的运维作业
5. 执行上属交办工作任务"
Python,壹线科技,10000-15000元,深圳,1年以内,本科,"任职要求： 
1、熟悉Linux系统，掌握Java 、Python、PHP、shell等语言；
2、熟悉网络编程(TCP/HTTP 协议)，多线程、多进程相关知识，有分布式爬虫架构，数据挖掘经验；  
3、熟悉MongoDB 、MySQL、Redis等；对数据库有较强的了解； 
4、熟悉爬虫抓取原理及技术，熟悉搜索引擎，从结构化的和非结构化的数据中获取信息，
5、掌握多种解析工具Jsoup、Xpath、Beautifulsoup、htmlparser、正则，有Nutch，Heritrix，jsoup抓取经验或者分布式抓取经验者优先；
 
6、良好的编码风格及测试习惯；
1  优秀的分析、解决问题能力,对处理未知的、挑战性问题充满激情； 
 
2  具备较强的学习能力和责任心，良好的沟通能力，团队合作精神。"
高级python工程师,环球易购,15000-30000元,深圳,3-5年,本科,"企业内部系统研发（运维平台系统）
岗位职责：
1、负责内部平台系统设计和开发；
2、能够根据项目的实际需要，进行技术方案的分析、选型； 
3、发现和解决系统开发中存在的技术问题，解决关键的技术难题；
任职资格：
1. 计算机相关专业；
2.  掌握python语言，熟悉Django开发框架，有使用python+django开发过真实项目；
3. 了解python协程、多进程和异步；
4、使用过django-rest-framework框架编写 RESTful API；
5、具有OOP设计思想，良好的编码规范和团队协作能力。"
Python,站擎,20000-30000元,深圳,5-10年,本科,"岗位职责：
1. 5年及以上Python爬虫经验，良好的编码风格及编码能力；
2. 熟悉HTML、CSS、JavaScript等页面技术，熟悉网页布局和架构，熟悉HTTP等协议；
3. 熟练使用爬虫相关技术，如urlib、requests、bs4、xpath、css、正则等，能够从结构化和非结构化的数据中获取信息；
4. 掌握Linux基本操作，能够编写shell脚本优先；
5. 熟悉MySQL、MongoDB、Oracle、Redis、MongoDB等数据库中至少一种，熟悉SQL语言；
6. 熟悉常见的反爬技术及解决办法，如User-Agent、IP代理、cookie池等，有爬虫、反爬机制研发经验优先；
7. 熟悉常用爬虫框架Scrapy，有开发爬虫框架经验优先、有过分布式系统使用及开发经验的优先；
8. 有良好的思维能力、自学能力，有责任心，有团队精神，对技术研发感兴趣，有较强的钻研精神，动手能力强。
任职要求：
1. 研究目标网站、网页、链接的特点、发现其规律和特点，负责多平台数据的采集；
2. 参与爬虫系统、解析系统的设计开发，数据库设计；
3. 参与设计策略的优化，提升网页抓取的效率和质量；
4. 设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点攻克。"
